,hotel_name,price,reviews,rating,url,key
58,Grand Hotel Amrath Amsterdam,278.0,4470.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d618996-Reviews-Grand_Hotel_Amrath_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
59,De L'Europe Amsterdam,525.0,1742.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d232492-Reviews-De_L_Europe_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
60,Sir Adam Hotel,329.0,580.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d9589433-Reviews-Sir_Adam_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
61,Art'otel Amsterdam,385.0,1905.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d4105659-Reviews-Art_otel_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
62,Hilton Amsterdam,257.0,3454.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d228438-Reviews-Hilton_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
63,The Manor Amsterdam,177.0,2230.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d1947338-Reviews-The_Manor_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
64,Andaz Amsterdam Prinsengracht,418.0,2419.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d3526884-Reviews-Andaz_Amsterdam_Prinsengracht-Amsterdam_North_Holland_Province.html,Amsterdam
65,Pillows Anna van den Vondel,413.0,277.0,5.0,http://www.tripadvisor.com/Hotel_Review-g188590-d196103-Reviews-Pillows_Anna_van_den_Vondel-Amsterdam_North_Holland_Province.html,Amsterdam
66,Conscious Hotel Vondelpark,194.0,1457.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d1879075-Reviews-Conscious_Hotel_Vondelpark-Amsterdam_North_Holland_Province.html,Amsterdam
67,Van der Valk Hotel Amsterdam-Amstel,205.0,290.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d12454831-Reviews-Van_der_Valk_Hotel_Amsterdam_Amstel-Amsterdam_North_Holland_Province.html,Amsterdam
68,Stayokay Amsterdam Oost,208.0,1141.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d654855-Reviews-Stayokay_Amsterdam_Oost-Amsterdam_North_Holland_Province.html,Amsterdam
69,Park Hotel Amsterdam,264.0,3038.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d230118-Reviews-Park_Hotel_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
70,The Albus,293.0,625.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d232328-Reviews-The_Albus-Amsterdam_North_Holland_Province.html,Amsterdam
71,Max Brown Hotel Museum Square,186.0,1445.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d238578-Reviews-Max_Brown_Hotel_Museum_Square-Amsterdam_North_Holland_Province.html,Amsterdam
72,Swissotel Amsterdam,241.0,1093.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d232502-Reviews-Swissotel_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
73,CityHub Amsterdam,154.0,584.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d8854315-Reviews-CityHub_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
74,Amsterdam ID Aparthotel,205.0,781.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d3533375-Reviews-Amsterdam_ID_Aparthotel-Amsterdam_North_Holland_Province.html,Amsterdam
75,Clemens Hotel,288.0,1294.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d238575-Reviews-Clemens_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
76,Crowne Plaza Amsterdam South,185.0,1464.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d2165279-Reviews-Crowne_Plaza_Amsterdam_South-Amsterdam_North_Holland_Province.html,Amsterdam
77,The Tire Station,154.0,356.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d11825957-Reviews-The_Tire_Station-Amsterdam_North_Holland_Province.html,Amsterdam
78,Urban Lodge Hotel,170.0,794.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d8771747-Reviews-Urban_Lodge_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
79,Hyatt Regency Amsterdam,299.0,646.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d12264790-Reviews-Hyatt_Regency_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
80,Mr. Jordaan Hotel,186.0,403.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d10158766-Reviews-Mr_Jordaan_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
81,citizenM Amsterdam South,153.0,5611.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d1372848-Reviews-CitizenM_Amsterdam_South-Amsterdam_North_Holland_Province.html,Amsterdam
82,Holiday Inn Express Amsterdam - City Hall,216.0,108.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d13489848-Reviews-Holiday_Inn_Express_Amsterdam_City_Hall-Amsterdam_North_Holland_Province.html,Amsterdam
