booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Hollywood City Inn,los angeles,11,$139,744 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d502971-Reviews-Hollywood_City_Inn-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",O Hotel,los angeles,15,$200,517 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d650376-Reviews-O_Hotel-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Rest Haven Motel,los angeles,5,$239,257 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g33052-d1529203-Reviews-Rest_Haven_Motel-Santa_Monica_California.html
Booking.com,2019/03/29,2019/03/30,Pool,Cal Mar Hotel Suites,los angeles,13,$228,501 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g33052-d82040-Reviews-Cal_Mar_Hotel_Suites-Santa_Monica_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Vagabond Inn Los Angeles at USC,los angeles,12,$140,399 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d77870-Reviews-Vagabond_Inn_Los_Angeles_at_USC-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Beachfront,Visit hotel website",Su Casa Venice Beach,los angeles,10,$323,171 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d666004-Reviews-Su_Casa_Venice_Beach-Los_Angeles_California.html
RodewayInn,2019/03/29,2019/03/30,Free Wifi,Rodeway Inn,los angeles,13,$150,215 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d77260-Reviews-Rodeway_Inn-Los_Angeles_California.html
QualityInn,2019/03/29,2019/03/30,"Free Wifi,Free parking",Quality Inn Near Hollywood Walk of Fame,los angeles,13,$174,599 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d84515-Reviews-Quality_Inn_Near_Hollywood_Walk_of_Fame-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Sportsmen's Lodge Hotel,los angeles,15,$239,1107 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d78688-Reviews-Sportsmen_s_Lodge_Hotel-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Comfort Inn & Suites Near Universal - N. Hollywood - Burbank,los angeles,13,$204,190 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d632541-Reviews-Comfort_Inn_Suites_Near_Universal_N_Hollywood_Burbank-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,Free Wifi,Shelter Hotels Los Angeles,los angeles,11,$169,317 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d1457221-Reviews-Shelter_Hotels_Los_Angeles-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge",Lexen Hotel - North Hollywood,los angeles,9,$184,58 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d13312797-Reviews-Lexen_Hotel_North_Hollywood-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Holiday Inn Express Hotel & Suites Woodland Hills,los angeles,13,$140,230 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d1197096-Reviews-Holiday_Inn_Express_Hotel_Suites_Woodland_Hills-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Staybridge Suites Chatsworth,los angeles,12,$149,156 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d76460-Reviews-Staybridge_Suites_Chatsworth-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Visit hotel website",The Charlie,los angeles,10,$375,147 ,4 ,http://www.tripadvisor.com/Hotel_Review-g33252-d1626533-Reviews-The_Charlie-West_Hollywood_California.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Courtyard by Marriott Santa Monica,los angeles,15,$299,168 ,4 ,http://www.tripadvisor.com/Hotel_Review-g33052-d10805928-Reviews-Courtyard_by_Marriott_Santa_Monica-Santa_Monica_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",Venice Beach House,los angeles,7,$313,160 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d113256-Reviews-Venice_Beach_House-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Beachfront",Su Casa Venice Beach,los angeles,10,$323,171 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d666004-Reviews-Su_Casa_Venice_Beach-Los_Angeles_California.html
Agoda.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Free parking,Breakfast included",Travelodge by Wyndham Hollywood-Vermont/Sunset,los angeles,14,$100,1282 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d77282-Reviews-Travelodge_by_Wyndham_Hollywood_Vermont_Sunset-Los_Angeles_California.html
Orbitz.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Pool,Beachfront",Hotel Shangri-La Santa Monica,los angeles,17,$360,1416 ,4 ,http://www.tripadvisor.com/Hotel_Review-g33052-d1141414-Reviews-Hotel_Shangri_La_Santa_Monica-Santa_Monica_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Ocean Park Hotel,los angeles,8,$110,203 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g33052-d1463820-Reviews-Ocean_Park_Hotel-Santa_Monica_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Breakfast included",Americas Best Value Inn - Dodger Stadium / Hollywood,los angeles,14,$127,194 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d553344-Reviews-Americas_Best_Value_Inn_Dodger_Stadium_Hollywood-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Restaurant",Hometel Suites,los angeles,10,$117,14 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d6220094-Reviews-Hometel_Suites-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Breakfast included",Mikado Hotel,los angeles,10,$169,258 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d78679-Reviews-Mikado_Hotel-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Breakfast included",Hollywood Downtowner Inn,los angeles,10,$149,532 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d268977-Reviews-Hollywood_Downtowner_Inn-Los_Angeles_California.html
Hotels.com,2019/03/29,2019/03/30,"Free Wifi,Beachfront",Air Venice On the Beach,los angeles,8,$220,212 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d8111005-Reviews-Air_Venice_On_the_Beach-Los_Angeles_California.html
Wyndham Hotels,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Free parking,Breakfast included",Days Inn by Wyndham Santa Monica/Los Angeles,los angeles,13,$161,533 ,3 ,http://www.tripadvisor.com/Hotel_Review-g33052-d82052-Reviews-Days_Inn_by_Wyndham_Santa_Monica_Los_Angeles-Santa_Monica_California.html
