booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",Beijing Downtown Travelotel,beijing,10,$111,391 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d674488-Reviews-Beijing_Downtown_Travelotel-Beijing.html
Waldorf Astoria,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Waldorf Astoria Beijing,beijing,17,$265,922 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d5553593-Reviews-Waldorf_Astoria_Beijing-Beijing.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",Legendale Hotel Beijing,beijing,16,$182,672 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d1200091-Reviews-Legendale_Hotel_Beijing-Beijing.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",Hotel Cote Cour Beijing,beijing,13,$147,310 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d653600-Reviews-Hotel_Cote_Cour_Beijing-Beijing.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",East Beijing,beijing,15,$134,829 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d3423156-Reviews-East_Beijing-Beijing.html
Trip.com,2019/03/29,2019/03/30,Free Wifi,Nostalgia Hotel Beijing Yonghe Lama Temple,beijing,11,$257,188 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d1435981-Reviews-Nostalgia_Hotel_Beijing_Yonghe_Lama_Temple-Beijing.html
Travelocity,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",CHAO Sanlitun Beijing,beijing,13,$302,420 ,5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d10736895-Reviews-CHAO_Sanlitun_Beijing-Beijing.html
Doubletree,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",DoubleTree by Hilton Beijing,beijing,15,$111,1650 ,4 ,http://www.tripadvisor.com/Hotel_Review-g294212-d1075056-Reviews-DoubleTree_by_Hilton_Beijing-Beijing.html
Hilton,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Hilton Beijing Wangfujing,beijing,14,$183,2769 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d1146087-Reviews-Hilton_Beijing_Wangfujing-Beijing.html
Trip.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Kempinski Hotel Beijing Lufthansa Center,beijing,16,$449,1037 ,4 ,http://www.tripadvisor.com/Hotel_Review-g294212-d302481-Reviews-Kempinski_Hotel_Beijing_Lufthansa_Center-Beijing.html
