booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
JW Marriott,2019/03/29,2019/03/30,"Free parking,Restaurant,Visit hotel website",JW Marriott Las Vegas Resort & Spa,las vegas,16,$209,2242 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d124741-Reviews-JW_Marriott_Las_Vegas_Resort_Spa-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Nobu Hotel at Caesars Palace,las vegas,18,$209,1842 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d3907285-Reviews-Nobu_Hotel_at_Caesars_Palace-Las_Vegas_Nevada.html
VEGAS.com,2019/03/29,2019/03/30,"Free parking,Pool,Visit hotel website",Elara by Hilton Grand Vacations,las vegas,16,$308,7593 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d1639337-Reviews-Elara_by_Hilton_Grand_Vacations-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included,Visit hotel website",Embassy Suites by Hilton Las Vegas,las vegas,16,$184,1637 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d97971-Reviews-Embassy_Suites_by_Hilton_Las_Vegas-Las_Vegas_Nevada.html
BestWestern.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Best Western Plus Las Vegas West,las vegas,13,$144,555 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91853-Reviews-Best_Western_Plus_Las_Vegas_West-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Desert Rose Resort,las vegas,16,$219,4157 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d217598-Reviews-Desert_Rose_Resort-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Hilton Garden Inn Las Vegas Strip South,las vegas,15,$164,1193 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d503601-Reviews-Hilton_Garden_Inn_Las_Vegas_Strip_South-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Waldorf Astoria Las Vegas,las vegas,14,$277,232 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d1456410-Reviews-Waldorf_Astoria_Las_Vegas-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Homewood Suites by Hilton Las Vegas City Center,las vegas,12,$199,166 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d12828667-Reviews-Homewood_Suites_by_Hilton_Las_Vegas_City_Center-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Candlewood Suites Las Vegas,las vegas,9,$149,583 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91764-Reviews-Candlewood_Suites_Las_Vegas-Las_Vegas_Nevada.html
Travelocity,2019/03/29,2019/03/30,"Free Wifi,Free parking",Desert Paradise Resort,las vegas,16,$243,688 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d286472-Reviews-Desert_Paradise_Resort-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Hilton Grand Vacations at the Flamingo,las vegas,11,$195,2134 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d217597-Reviews-Hilton_Grand_Vacations_at_the_Flamingo-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Tru by Hilton Las Vegas Airport,las vegas,10,$117,242 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d13145267-Reviews-Tru_by_Hilton_Las_Vegas_Airport-Las_Vegas_Nevada.html
Delano,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Delano Las Vegas,las vegas,15,$339,4587 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d496876-Reviews-Delano_Las_Vegas-Las_Vegas_Nevada.html
Residence Inn,2019/03/29,2019/03/30,"Free Wifi,Breakfast included,Visit hotel website",Residence Inn by Marriott Las Vegas Hughes Center,las vegas,11,$179,524 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91920-Reviews-Residence_Inn_by_Marriott_Las_Vegas_Hughes_Center-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Hampton Inn Las Vegas/Summerlin,las vegas,16,$169,684 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91839-Reviews-Hampton_Inn_Las_Vegas_Summerlin-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Homewood Suites by Hilton Las Vegas Airport,las vegas,15,$133,1085 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d679044-Reviews-Homewood_Suites_by_Hilton_Las_Vegas_Airport-Las_Vegas_Nevada.html
BestWestern.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Best Western Plus Casino Royale,las vegas,14,$230,2726 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d264967-Reviews-Best_Western_Plus_Casino_Royale-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",La Quinta Inn Las Vegas Nellis,las vegas,12,$149,520 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d241163-Reviews-La_Quinta_Inn_Las_Vegas_Nellis-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",La Quinta Inn & Suites Las Vegas Tropicana,las vegas,15,$139,471 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91708-Reviews-La_Quinta_Inn_Suites_Las_Vegas_Tropicana-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Courtyard by Marriott Las Vegas Convention Center,las vegas,14,$199,479 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91783-Reviews-Courtyard_by_Marriott_Las_Vegas_Convention_Center-Las_Vegas_Nevada.html
Priceline,2019/03/29,2019/03/30,"Free Wifi,Free parking",Jockey Club,las vegas,10,$296,1464 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91866-Reviews-Jockey_Club-Las_Vegas_Nevada.html
Orbitz.com,2019/03/29,2019/03/30,"Free parking,Pool,Visit hotel website",The Grandview at Las Vegas,las vegas,11,$267,3724 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d460081-Reviews-The_Grandview_at_Las_Vegas-Las_Vegas_Nevada.html
Hotels.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Residence Inn Las Vegas Airport,las vegas,16,$189,270 ,5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d10301220-Reviews-Residence_Inn_Las_Vegas_Airport-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",The Carriage House,las vegas,10,$149,1598 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d91949-Reviews-The_Carriage_House-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Platinum Hotel and Spa,las vegas,11,$149,3983 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d610513-Reviews-Platinum_Hotel_and_Spa-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included,Visit hotel website",SpringHill Suites Las Vegas Convention Center,las vegas,12,$209,995 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d1200920-Reviews-SpringHill_Suites_Las_Vegas_Convention_Center-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Skylofts at MGM Grand,las vegas,11,$990,442 ,5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d619205-Reviews-Skylofts_at_MGM_Grand-Las_Vegas_Nevada.html
Hotels.com,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Las Vegas Marriott,las vegas,10,$219,795 ,4 ,http://www.tripadvisor.com/Hotel_Review-g45963-d111712-Reviews-Las_Vegas_Marriott-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",La Quinta Inn & Suites Las Vegas RedRock/Summerlin,las vegas,10,$134,561 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g45963-d224834-Reviews-La_Quinta_Inn_Suites_Las_Vegas_RedRock_Summerlin-Las_Vegas_Nevada.html
Park MGM Las Vegas,2019/03/29,2019/03/30,"Restaurant,Room service,Visit hotel website",Park MGM Las Vegas,las vegas,17,$189,8990 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d97712-Reviews-Park_MGM_Las_Vegas-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Staybridge Suites Las Vegas,las vegas,10,$179,1008 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d1197075-Reviews-Staybridge_Suites_Las_Vegas-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included,Visit hotel website",Residence Inn Las Vegas South,las vegas,13,$199,363 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d287616-Reviews-Residence_Inn_Las_Vegas_South-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Hilton Garden Inn Las Vegas City Center,las vegas,13,$174,149 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d13625755-Reviews-Hilton_Garden_Inn_Las_Vegas_City_Center-Las_Vegas_Nevada.html
