booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
NH Hotels,2019/03/29,2019/03/30,"Free Wifi,Pool",NH Madrid Ventas,madrid,15,,1139 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d206976-Reviews-NH_Madrid_Ventas-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Room service,Visit hotel website",Suites Viena Plaza De Espana,madrid,14,$127,1629 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d631004-Reviews-Suites_Viena_Plaza_De_Espana-Madrid.html
Hotels.com,2019/03/29,2019/03/30,Free Wifi,Aparto Suites Muralto,madrid,13,,795 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d231632-Reviews-Aparto_Suites_Muralto-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Relais & Chateaux Hotel Orfila,madrid,11,,1425 ,5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d232824-Reviews-Relais_Chateaux_Hotel_Orfila-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Room service",Petit Palace Arturo Soria,madrid,14,,741 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d228523-Reviews-Petit_Palace_Arturo_Soria-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Heritage Madrid Hotel,madrid,11,$228,121 ,5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d12828930-Reviews-Heritage_Madrid_Hotel-Madrid.html
Expedia.com,2019/03/29,2019/03/30,Free Wifi,Aparto Suites Muralto,madrid,13,$121,795 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d231632-Reviews-Aparto_Suites_Muralto-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Relais & Chateaux Hotel Orfila,madrid,11,$345,1425 ,5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d232824-Reviews-Relais_Chateaux_Hotel_Orfila-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Room service",Petit Palace Arturo Soria,madrid,14,$110,741 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d228523-Reviews-Petit_Palace_Arturo_Soria-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",VP Jardin de Recoletos,madrid,11,$187,643 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d232815-Reviews-VP_Jardin_de_Recoletos-Madrid.html
Room Mate Hotels,2019/03/29,2019/03/30,"Free Wifi,Visit hotel website",Room Mate Mario,madrid,16,$122,2102 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d620038-Reviews-Room_Mate_Mario-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Barcelo Emperatriz,madrid,16,$194,929 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d1407909-Reviews-Barcelo_Emperatriz-Madrid.html
Travelocity,2019/03/29,2019/03/30,"Free Wifi,Restaurant",NH Collection Madrid Abascal,madrid,16,$181,1545 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d206971-Reviews-NH_Collection_Madrid_Abascal-Madrid.html
Room Mate Hotels,2019/03/29,2019/03/30,"Free Wifi,Visit hotel website",Hotel Room Mate Alicia,madrid,14,$164,1456 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d607162-Reviews-Hotel_Room_Mate_Alicia-Madrid.html
Travelocity,2019/03/29,2019/03/30,"Free Wifi,Restaurant",URSO Hotel & Spa,madrid,17,$229,586 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d6895631-Reviews-URSO_Hotel_Spa-Madrid.html
Derby Hotels,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Hotel Villa Real,madrid,16,$137,2149 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d190149-Reviews-Hotel_Villa_Real-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",Hotel Claridge,madrid,12,$143,1219 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d228475-Reviews-Hotel_Claridge-Madrid.html
Room Mate Hotels,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge,Visit hotel website",Room Mate Oscar,madrid,15,$179,2855 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d675157-Reviews-Room_Mate_Oscar-Madrid.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",Ibis Styles Madrid Prado,madrid,11,$138,1393 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d234301-Reviews-Ibis_Styles_Madrid_Prado-Madrid.html
Booking.com,2019/03/29,2019/03/30,Free Wifi,Petit Palace Posada del Peine,madrid,16,$189,1320 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d574847-Reviews-Petit_Palace_Posada_del_Peine-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Catalonia Puerta Del Sol,madrid,13,$143,943 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d275116-Reviews-Catalonia_Puerta_Del_Sol-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Restaurant,Room service,Visit hotel website",The Westin Palace Madrid,madrid,12,$314,4735 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d190569-Reviews-The_Westin_Palace_Madrid-Madrid.html
Hostelworld.com,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge",Safestay Madrid,madrid,13,$61,1402 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d3491595-Reviews-Safestay_Madrid-Madrid.html
Travelocity,2019/03/29,2019/03/30,"Free Wifi,Restaurant",NH Collection Madrid Gran Via,madrid,13,$268,136 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d13196348-Reviews-NH_Collection_Madrid_Gran_Via-Madrid.html
Travelocity,2019/03/29,2019/03/30,Free Wifi,Plaza Espana Skyline,madrid,10,$184,127 ,5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d13442188-Reviews-Plaza_Espana_Skyline-Madrid.html
Booking.com,2019/03/29,2019/03/30,Free Wifi,Petit Palace Plaza Mayor,madrid,16,$126,1215 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d1080024-Reviews-Petit_Palace_Plaza_Mayor-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",Vincci Soho,madrid,15,$180,1907 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d587150-Reviews-Vincci_Soho-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Wellington Hotel,madrid,15,$208,1720 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d228658-Reviews-Wellington_Hotel-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",InterContinental Madrid,madrid,13,$236,2154 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d231634-Reviews-InterContinental_Madrid-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",Hyatt Centric Gran Via Madrid,madrid,14,$276,302 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d13140387-Reviews-Hyatt_Centric_Gran_Via_Madrid-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",NH Collection Palacio de Tepa,madrid,17,$224,1383 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d1875767-Reviews-NH_Collection_Palacio_de_Tepa-Madrid.html
Travelocity,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",H10 Tribeca,madrid,17,$133,786 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d228661-Reviews-H10_Tribeca-Madrid.html
Booking.com,2019/03/29,2019/03/30,Free Wifi,Hostal Gala,madrid,11,$77,614 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d1724913-Reviews-Hostal_Gala-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",Alhambra Suites Madrid,madrid,9,$92,231 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d1972872-Reviews-Alhambra_Suites_Madrid-Madrid.html
