booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Rydges World Square Sydney Hotel,sydney,16,$101,2425 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d257281-Reviews-Rydges_World_Square_Sydney_Hotel-Sydney_New_South_Wales.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Fraser Suites Sydney,sydney,16,$161,1291 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d625726-Reviews-Fraser_Suites_Sydney-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Rydges Sydney Central,sydney,16,$109,2059 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d262382-Reviews-Rydges_Sydney_Central-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,"Pool,Fitness center",Adina Apartment Hotel Coogee Sydney,sydney,14,$127,1165 ,,http://www.tripadvisor.com/Hotel_Review-g261609-d257299-Reviews-Adina_Apartment_Hotel_Coogee_Sydney-Coogee_Randwick_Greater_Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Restaurant,Room service,Visit hotel website",Holiday Inn Potts Point - Sydney,sydney,16,$97,1284 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d255394-Reviews-Holiday_Inn_Potts_Point_Sydney-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,"Pool,Fitness center",Adina Apartment Hotel Sydney Chippendale,sydney,13,$147,752 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d262563-Reviews-Adina_Apartment_Hotel_Sydney_Chippendale-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,Free Wifi,57 Hotel,sydney,12,$103,2295 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d7389132-Reviews-57_Hotel-Sydney_New_South_Wales.html
Orbitz.com,2019/03/29,2019/03/30,"Free parking,Beachfront",Coogee Sands Hotel & Apartments,sydney,12,$142,838 ,,http://www.tripadvisor.com/Hotel_Review-g261609-d258260-Reviews-Coogee_Sands_Hotel_Apartments-Coogee_Randwick_Greater_Sydney_New_South_Wales.html
Agoda.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website","Meriton Suites World Tower, Sydney",sydney,5,$301,3603 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d489096-Reviews-Meriton_Suites_World_Tower_Sydney-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,Free Wifi,The Urban Newtown,sydney,12,$77,583 ,,http://www.tripadvisor.com/Hotel_Review-g8572746-d7103854-Reviews-The_Urban_Newtown-Newtown_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Primus Hotel Sydney,sydney,14,$160,1126 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d8776883-Reviews-Primus_Hotel_Sydney-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,"Restaurant,Bar/Lounge",Wake Up! Sydney,sydney,11,$93,1717 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d286374-Reviews-Wake_Up_Sydney-Sydney_New_South_Wales.html
Hotwire.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website","West Hotel Sydney, Curio Collection by Hilton",sydney,13,$145,284 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d12993911-Reviews-West_Hotel_Sydney_Curio_Collection_by_Hilton-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Pool,Restaurant",Quay West Suites Sydney,sydney,14,$170,1526 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d256624-Reviews-Quay_West_Suites_Sydney-Sydney_New_South_Wales.html
InterContinental,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",InterContinental Sydney Double Bay,sydney,14,$416,642 ,4 ,http://www.tripadvisor.com/Hotel_Review-g552126-d6827689-Reviews-InterContinental_Sydney_Double_Bay-Woollahra_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",Dive Hotel,sydney,10,$155,274 ,4 ,http://www.tripadvisor.com/Hotel_Review-g261609-d623183-Reviews-Dive_Hotel-Coogee_Randwick_Greater_Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,Free Wifi,Central Railway Hotel,sydney,15,$86,796 ,4 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256534-Reviews-Central_Railway_Hotel-Sydney_New_South_Wales.html
Hostelworld.com,2019/03/29,2019/03/30,Free Wifi,The Pod Sydney,sydney,12,$77,238 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d11917388-Reviews-The_Pod_Sydney-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Radisson Hotel And Suites Sydney,sydney,15,$128,2133 ,4 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256627-Reviews-Radisson_Hotel_And_Suites_Sydney-Sydney_New_South_Wales.html
